Date,Dealer,Region,Vehicle_Model,Fuel_Type,Category,Units_Sold,Unit_Price,Customer_Satisfaction_Score,Revenue,Year,Image_URL
2023-08-23,Kia Motors Arena,North,Sonet,Electric,SUV,24,2896287,7.8,69510888,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-01-24,Tata Motors Autoworld,South,Nexon,Petrol,SUV,25,1399068,6.4,34976700,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-01-03,MG Motors India,West,Hector,Diesel,SUV,42,2412043,5.9,101305806,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-10-30,Tata Motors Autoworld,East,Harrier,Petrol,SUV,10,2952654,6.8,29526540,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-02-20,Nissan Auto World,Central,Magnite,Diesel,SUV,46,1841024,9.3,84687104,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-10-19,Kia Motors Arena,North,Sonet,Petrol,SUV,22,1884485,6.1,41458670,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-08-25,Ford India Motors,East,Endeavour,Petrol,SUV,28,2806026,8.0,78568728,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-06-23,Hyundai Motor Plaza,West,Creta,Electric,SUV,35,2802974,9.3,98104090,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-09-25,Tata Motors Autoworld,South,Safari,Petrol,SUV,6,2819770,8.4,16918620,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-04-18,Honda Car Hub,East,City,Petrol,Sedan,21,1010975,7.9,21230475,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2020-02-07,Honda Car Hub,West,City,Petrol,Sedan,40,1743205,8.0,69728200,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-07-21,Skoda Auto Hub,Central,Slavia,Diesel,Sedan,47,1698355,5.6,79822685,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2021-05-31,Hyundai Motor Plaza,North,i10,Petrol,Hatchback,46,675733,7.4,31083718,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2021-05-25,Toyota Trust India,Central,Yaris,Petrol,Sedan,8,1322738,9.8,10581904,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2021-04-05,Nexa Maruti Suzuki,North,Ciaz,Diesel,Sedan,27,1520042,6.7,41041134,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-09-16,Volkswagen Prime,West,Polo,Petrol,Hatchback,5,581584,7.1,2907920,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2021-06-10,Jeep Drive Hub,West,Meridian,Petrol,SUV,43,2880683,5.4,123869369,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-07-14,MG Motors India,East,Gloster,Petrol,SUV,29,2101699,5.8,60949271,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-05-22,Renault Drive India,North,Kwid,Petrol,Hatchback,47,603873,8.8,28382031,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2022-09-08,Honda Car Hub,East,Jazz,Petrol,Hatchback,14,738961,6.1,10345454,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2021-10-23,Honda Car Hub,North,Jazz,Diesel,Hatchback,17,752415,5.8,12791055,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2025-06-19,Tata Motors Autoworld,Central,Harrier,Diesel,SUV,32,2322616,8.2,74323712,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-12-28,Jeep Drive Hub,East,Meridian,Diesel,SUV,9,1736036,9.8,15624324,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-08-01,Tata Motors Autoworld,West,Harrier,Petrol,SUV,45,1481584,9.3,66671280,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-06-03,MG Motors India,Central,Gloster,Petrol,SUV,28,2214286,8.9,62000008,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-03-25,Nissan Auto World,South,Magnite,Diesel,SUV,34,2304580,5.5,78355720,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-05-21,Honda Car Hub,East,Amaze,Petrol,Sedan,23,1405235,8.0,32320405,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2024-10-02,Kia Motors Arena,Central,Seltos,Petrol,SUV,47,1654350,5.7,77754450,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-06-06,BYD Electric India,South,Atto 3,Petrol,Electric,5,2840464,8.1,14202320,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/EV%203D.jpg
2023-10-11,Nexa Maruti Suzuki,West,Dzire,Petrol,Sedan,13,1086448,7.4,14123824,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2025-08-30,Honda Car Hub,East,City,Diesel,Sedan,18,1784208,8.6,32115744,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-04-01,Jeep Drive Hub,Central,Meridian,Petrol,SUV,13,2221300,5.1,28876900,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-07-04,Tata Motors Autoworld,West,Altroz,Petrol,Hatchback,33,674254,9.7,22250382,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2021-10-03,Volkswagen Prime,North,Virtus,Petrol,Sedan,6,1048805,9.2,6292830,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2021-02-21,Renault Drive India,West,Kwid,Petrol,Hatchback,15,521347,6.8,7820205,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2020-10-07,Renault Drive India,North,Kwid,Diesel,Hatchback,33,503920,6.3,16629360,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2022-02-04,Renault Drive India,East,Kwid,Petrol,Hatchback,11,639662,9.9,7036282,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2021-04-27,Kia Motors Arena,Central,Sonet,Petrol,SUV,33,1698739,5.9,56058387,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-09-09,Kia Motors Arena,North,Sonet,Electric,SUV,35,1856501,8.9,64977535,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-07-27,Renault Drive India,Central,Kiger,Diesel,SUV,35,1471565,9.8,51504775,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-11-08,Honda Car Hub,North,Jazz,Petrol,Hatchback,46,570997,9.7,26265862,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2024-08-06,Hyundai Motor Plaza,East,i20,Petrol,Hatchback,37,742377,8.1,27467949,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2022-12-01,Ford India Motors,South,Endeavour,Petrol,SUV,36,1754423,6.1,63159228,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-04-03,MG Motors India,Central,Gloster,Petrol,SUV,20,2468140,7.8,49362800,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-08-31,Ford India Motors,West,Ecosport,Diesel,SUV,16,2217300,6.9,35476800,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-04-25,Ford India Motors,South,Endeavour,Diesel,SUV,5,1808160,6.7,9040800,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-01-04,Tata Motors Autoworld,East,Nexon,Diesel,SUV,13,2769145,6.6,35998885,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-07-22,MG Motors India,Central,Hector,Petrol,SUV,1,1561666,7.6,1561666,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-02-15,Hyundai Motor Plaza,Central,Venue,Petrol,SUV,25,2270726,6.6,56768150,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-05-06,Tata Motors Autoworld,West,Safari,Petrol,SUV,35,2784287,7.3,97450045,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-11-04,Kia Motors Arena,North,Sonet,Petrol,SUV,31,2739747,5.4,84932157,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-08-28,Toyota Trust India,West,Camry,Diesel,Sedan,32,1709353,7.4,54699296,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2025-08-21,Kia Motors Arena,East,Sonet,Petrol,SUV,40,2668855,8.8,106754200,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-10-16,Nexa Maruti Suzuki,South,Dzire,Petrol,Sedan,4,1229943,5.9,4919772,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2023-06-09,MG Motors India,Central,Astor,Petrol,SUV,3,1850304,6.8,5550912,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-01-12,Kia Motors Arena,West,Sonet,Diesel,SUV,10,2548629,8.1,25486290,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-01-19,MG Motors India,Central,Hector,Diesel,SUV,7,1913494,5.1,13394458,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-05-05,Volkswagen Prime,North,Polo,Petrol,Hatchback,17,881809,9.1,14990753,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2020-10-07,Nexa Maruti Suzuki,East,Dzire,Petrol,Sedan,43,1455930,5.5,62604990,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2023-02-12,Honda Car Hub,South,Amaze,Petrol,Sedan,17,1086491,7.2,18470347,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2020-01-31,MG Motors India,Central,Hector,Diesel,SUV,42,1246718,5.7,52362156,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-04-19,Volkswagen Prime,West,Virtus,Diesel,Sedan,28,1731162,8.5,48472536,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2021-08-24,Volkswagen Prime,North,Polo,Petrol,Hatchback,31,669372,9.3,20750532,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2023-05-22,Skoda Auto Hub,South,Octavia,Diesel,Sedan,7,1019918,9.9,7139426,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-01-27,Kia Motors Arena,East,Sonet,Diesel,SUV,49,2423611,5.4,118756939,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-01-01,Volkswagen Prime,North,Virtus,Petrol,Sedan,35,1727113,7.2,60448955,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-09-18,Skoda Auto Hub,West,Kushaq,Petrol,SUV,31,2608563,7.8,80865453,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-07-22,Skoda Auto Hub,East,Octavia,Petrol,Sedan,24,1649845,5.8,39596280,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2025-08-11,Honda Car Hub,West,City,Diesel,Sedan,33,1002544,5.0,33083952,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2024-04-13,Skoda Auto Hub,East,Kushaq,Petrol,SUV,48,2883332,7.6,138399936,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-03-15,Hyundai Motor Plaza,West,Creta,Diesel,SUV,38,2688034,5.5,102145292,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-06-11,Renault Drive India,Central,Duster,Diesel,SUV,35,2546842,9.4,89139470,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-05-05,Jeep Drive Hub,East,Compass,Petrol,SUV,42,2363951,7.3,99285942,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-07-07,Jeep Drive Hub,South,Compass,Petrol,SUV,39,1801651,7.9,70264389,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-08-15,Tata Motors Autoworld,West,Tiago,Diesel,Hatchback,11,518808,6.8,5706888,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2024-02-25,Jeep Drive Hub,North,Compass,Petrol,SUV,39,2574199,7.1,100393761,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-04-01,Mahindra First Choice,East,KUV100,Electric,Hatchback,2,540693,8.3,1081386,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2023-09-14,Skoda Auto Hub,West,Slavia,Petrol,Sedan,17,1262001,8.8,21454017,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2023-06-19,Nissan Auto World,North,Magnite,Petrol,SUV,38,2098170,8.3,79730460,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-05-08,Kia Motors Arena,North,Seltos,Petrol,SUV,32,2956470,9.9,94607040,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-04-07,Kia Motors Arena,West,Sonet,Diesel,SUV,45,1880264,10.0,84611880,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-06-12,Hyundai Motor Plaza,South,i10,Petrol,Hatchback,32,789917,9.3,25277344,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2025-12-20,Hyundai Motor Plaza,South,Venue,Electric,SUV,7,1992924,7.5,13950468,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-01-14,Hyundai Motor Plaza,West,Creta,Petrol,SUV,12,1901385,8.3,22816620,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-01-27,Nissan Auto World,North,Magnite,Diesel,SUV,46,2319484,6.5,106696264,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-04-07,Skoda Auto Hub,South,Kodiaq,Diesel,SUV,46,1480578,7.3,68106588,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-12-08,Volkswagen Prime,Central,Virtus,Diesel,Sedan,32,1584117,9.4,50691744,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2020-12-28,Mahindra First Choice,West,Thar,Petrol,SUV,17,2645161,9.5,44967737,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-03-17,BYD Electric India,East,e6,Petrol,Electric,35,2349447,7.9,82230645,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/EV%203D.jpg
2025-08-24,Mahindra First Choice,Central,Scorpio,Petrol,SUV,32,1361964,8.4,43582848,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2024-06-26,Toyota Trust India,South,Fortuner,Petrol,SUV,43,2989431,5.1,128545533,2024,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2022-01-23,Kia Motors Arena,Central,Seltos,Diesel,SUV,18,2517110,6.2,45307980,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-03-04,Mahindra First Choice,East,XUV700,Diesel,SUV,41,2332345,9.2,95626145,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
